NAME	TYPE	SMILES
Acetic_acid	GRAS	CC(=O)O
Sodium_diacetate	GRAS	CC(=O)O.CC(=O)[O-].[Na+]
HYPROMELLOSE_ACETATE_SUCCINATE_06081224_(3_MM2/S)	IIG	CC(=O)O.CC(O)CO.CO.O=C(O)CCC(=O)O
LYSINE_ACETATE	IIG	CC(=O)O.NCCCC[C@H](N)C(=O)O
CROSCARMELLOSE	IIG	CC(=O)O.O=CC(O)C(O)C(O)C(O)CO
Sodium_Carboxymethyl_cellulose	GRAS	CC(=O)O.O=CC(O)C(O)C(O)C(O)CO.[Na]
ACETIC_ANHYDRIDE	IIG	CC(=O)OC(C)=O
Vitamin_A_acetate	GRAS	CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
PROPYLENE_GLYCOL_DIACETATE	IIG	CC(=O)OCC(C)OC(C)=O
TRIACETIN	IIG	CC(=O)OCC(COC(C)=O)OC(C)=O
BENZYL_ACETATE	IIG	CC(=O)OCc1ccccc1
PHENYLMERCURIC_ACETATE	IIG	CC(=O)O[Hg]c1ccccc1
alpha-Tocopherol_acetate	GRAS	CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
.ALPHA.-TOCOPHEROL_ACETATE,_DL-	IIG	CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
ALUMINUM_ACETATE	IIG	CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3]
ZINC_ACETATE	IIG	CC(=O)[O-].CC(=O)[O-].O.O.[Zn+2]
Calcium_acetate	GRAS	CC(=O)[O-].CC(=O)[O-].[Ca+2]
MAGNESIUM_ACETATE	IIG	CC(=O)[O-].CC(=O)[O-].[Mg+2]
Zinc_acetate	GRAS	CC(=O)[O-].CC(=O)[O-].[Zn+2]
SODIUM_ACETATE	IIG	CC(=O)[O-].O.O.O.[Na+]
ALUMINUM_MONOACETATE	IIG	CC(=O)[O-].[AlH2+]
POTASSIUM_ACETATE	IIG	CC(=O)[O-].[K+]
AMMONIUM_ACETATE	IIG	CC(=O)[O-].[NH4+]
Sodium_acetate	GRAS	CC(=O)[O-].[Na+]
ACETOPHENONE	IIG	CC(=O)c1ccccc1
OCTOXYNOL-9	IIG	CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1
ENTSUFON	IIG	CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)O)cc1
ENTSUFON_SODIUM	IIG	CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCS(=O)(=O)[O-])cc1.[Na+]
BENZETHONIUM_CHLORIDE	IIG	CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
TERT-BUTYL_ALCOHOL	IIG	CC(C)(C)O
TERT-BUTYL_HYDROPEROXIDE	IIG	CC(C)(C)OO
TERT-BUTYLHYDROQUINONE	IIG	CC(C)(C)c1cc(O)ccc1O
Calcium_pantothenate	GRAS	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2]
D-Pantothenyl_alcohol	GRAS	CC(C)(CO)[C@@H](O)C(=O)NCCCO
AMINOMETHYLPROPANOL	IIG	CC(C)(N)CO
CHLOROBUTANOL	IIG	CC(C)(O)C(Cl)(Cl)Cl
CHLOROBUTANOL_HEMIHYDRATE	IIG	CC(C)(O)C(Cl)(Cl)Cl.CC(C)(O)C(Cl)(Cl)Cl.O
D-_or_DL-_Sodium_pantothenate	GRAS	CC(C)(O)CC(O)C(=O)NCCC(=O)[O-].[Na+]
ACETONE_SODIUM_BISULFITE	IIG	CC(C)(O)S(=O)(=O)O.[Na]
ACETONE	IIG	CC(C)=O
SODIUM_BISULFATE_ACETONE	IIG	CC(C)=O.O=S(=O)([O-])O.[Na+]
ISOBUTANE	IIG	CC(C)C
VALINE	IIG	CC(C)C(N)C(=O)O
LEUCINE	IIG	CC(C)CC(N)C(=O)O
CHOLETH-24	IIG	CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCO)CCC4(C)C3CCC12C
SQUALANE	IIG	CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
ISOPROPYL_ISOSTEARATE	IIG	CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C
GLYCERYL_ISOSTEARATE	IIG	CC(C)CCCCCCCCCCCCCCC(=O)OC(CO)CO
PEG-6_ISOSTEARATE	IIG	CC(C)CCCCCCCCCCCCCCC(=O)OCCO
ISOSTEARYL_ALCOHOL	IIG	CC(C)CCCCCCCCCCCCCCCO
CHOLESTEROL	IIG	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
SODIUM_CHOLESTERYL_SULFATE	IIG	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)[O-])CC[C@]4(C)[C@H]3CC[C@@]21C.[Na+]
ISOBUTYL_ALCOHOL	IIG	CC(C)CO
DIISOPROPYLBENZOTHIAZYL-2-SULFENAMIDE	IIG	CC(C)N(Sc1nc2ccccc2s1)C(C)C
ISOPROPYL_ALCOHOL	IIG	CC(C)O
DIISOPROPYL_ADIPATE	IIG	CC(C)OC(=O)CCCCC(=O)OC(C)C
LEVOMENTHOL	IIG	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
TRICHLOROETHANE	IIG	CC(Cl)(Cl)Cl
ALANINE	IIG	CC(N)C(=O)O
Lactic_acid	GRAS	CC(O)C(=O)O
Calcium_Lactate	GRAS	CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2]
Ferrous_lactate	GRAS	CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Fe+2]
L(+)-calcium_lactate	GRAS	CC(O)C(=O)[O-].C[C@H](O)C(=O)[O-].[Ca+2]
SODIUM_LACTATE,_L-	IIG	CC(O)C(=O)[O-].[Na+]
THREONINE	IIG	CC(O)C(N)C(=O)O
HEXYLENE_GLYCOL	IIG	CC(O)CC(C)(C)O
BUTYLENE_GLYCOL	IIG	CC(O)CCO
CALTERIDOL_CALCIUM	IIG	CC(O)CN1CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC1.[Ca+2].[Ca+2]
DIISOPROPANOLAMINE	IIG	CC(O)CNCC(C)O
Propylene_Glycol	GRAS	CC(O)CO
Propylene_glycol_monostearate	GRAS	CC(O)CO.CCCCCCCCCCCCCCCCCC(=O)O
DMDM_HYDANTOIN	IIG	CC1(C)C(=O)N(CO)C(=O)N1CO
Glycyrrhizin	GRAS	CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C
Ammoniated_Glycyrrhizin	GRAS	CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C.N
EUCALYPTOL	IIG	CC12CCC(CC1)C(C)(C)O2
Carotene_(beta-carotene)	GRAS	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1
Vitamin_A	GRAS	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
Cyanocobalamin	GRAS	CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O.[C-]#N.[Co+3]
ACESULFAME_POTASSIUM	IIG	CC1=CC(=O)N=S(=O)([O-])O1.[K+]
.ALPHA.-TERPINEOL	IIG	CC1=CC[C@H](C(C)(C)O)CC1
MENTHOL,_UNSPECIFIED_FORM	IIG	CC1CCC(C(C)C)C(O)C1
PROPYLENE_CARBONATE	IIG	CC1COC(=O)O1
POLYLACTIDE	IIG	CC1OC(=O)C(C)OC1=O
POLYGLACTIN	IIG	CC1OC(=O)C(C)OC1=O.O=C1COC(=O)CO1
PROPANE	IIG	CCC
Propionic_acid	GRAS	CCC(=O)O
Calcium_propionate	GRAS	CCC(=O)[O-].CCC(=O)[O-].[Ca+2]
SODIUM_PROPIONATE	IIG	CCC(=O)[O-].O.[Na+]
Sodium_propionate	GRAS	CCC(=O)[O-].[Na+]
METHYL_ETHYL_KETONE	IIG	CCC(C)=O
DINOSEB-AMMONIUM	IIG	CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-].[NH4+]
2-ETHYL-1,6-HEXANEDIOL	IIG	CCC(CO)CCCCO
DIPROPYLENE_GLYCOL	IIG	CCC(O)OC(O)CC
BUTANE	IIG	CCCC
BUTYRIC_ACID	IIG	CCCC(=O)O
STANNOUS_2-ETHYLHEXANOATE	IIG	CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Sn+2]
DOCUSATE_SODIUM	IIG	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
DIETHYLHEXYL_PHTHALATE_**See_CDER_Guidance:_Limiting_the_Use_of_Certain_Phthalates_as_Excipients_in_CDER-Regulated_Products	IIG	CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
OCTISALATE	IIG	CCCCC(CC)COC(=O)c1ccccc1O
Linoleic_acid	GRAS	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
DIISOPROPYL_DILINOLEATE	IIG	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(C)C.CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(C)C
Iron_linoleate_(packaging)	GRAS	CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-].CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-].[Fe+2]
HEXANE	IIG	CCCCCC
HEPTANE	IIG	CCCCCCC
